id,name,altName,caloriesPer100g,proteinPer100g,carbsPer100g,fatPer100g,source
dost-1468,"Soup, chicken & veg, cond, cnd",N/A,60,2,5.4,3.4,DOST PH
dost-1469,"Soup, chicken noodle, cnd",N/A,49,2.6,6,1.6,DOST PH
dost-1470,"Soup, corn potage, cond, cnd",N/A,92,3.5,18.7,0.4,DOST PH
dost-1471,"Soup, cream of asparagus, cond, cnd",N/A,79,1.8,8.5,4.2,DOST PH
dost-1472,"Soup, cream of chicken, cond, cnd",N/A,62,2.5,8.4,2,DOST PH
dost-1473,"Soup, cream of mushroom, cnd",N/A,102,1.7,8.7,6.7,DOST PH
dost-1474,"Soup, mungbean w/ shrimp, ckd",N/A,50,3.1,8.3,0.5,DOST PH
dost-1475,"Soup, noodles & beef, cond, cnd",N/A,55,1.9,6.7,2.3,DOST PH
dost-1476,"Soup, pansit molo, cond, cnd",N/A,54,2.4,5.6,2.4,DOST PH
dost-1477,"Soup, sotanghon, cond",N/A,27,0.8,2.8,1.4,DOST PH
dost-1478,"Soup, turkey noodle, cnd",N/A,42,2.4,7.3,0.4,DOST PH
dost-1479,"Soup, veg alphabet, cnd",N/A,69,2,12,1.4,DOST PH
dost-1480,"Soup, veg, cond, cnd",N/A,25,1.1,4.2,0.4,DOST PH
dost-1481,"Soup, vermicelli & chicken, cond, cnd",N/A,38,1.3,5.5,1.2,DOST PH
dost-1482,"Pork & beans, cnd",N/A,105,4.7,17.6,1.8,DOST PH
dost-1483,"Hotcake, prep, w/ MLP",N/A,242,5.3,39.3,7.1,DOST PH
dost-1484,"Polvoron, prep, w/ MLP",N/A,497,9.2,62.3,23.4,DOST PH
dost-1485,"Gelatin drink, w/ MLP",Jello almond w/ MLP,63,0.9,13,0.8,DOST PH
dost-1486,"Ice candy, prep, w/ MLP",Frozen refreshment w/ MLP,96,1.4,20.1,1.1,DOST PH
dost-1487,"Yacon shake, prep",Yacon cooler,77,0.2,18.7,0.2,DOST PH
dost-1488,"Carbonara, prep, w/ MLP",N/A,148,5.5,17.2,6.4,DOST PH
dost-1489,"Fruit salad, prep, w/ yacon",Yacon salad twister,62,0.4,14.3,0.3,DOST PH
dost-1490,"Macaroni salad, prep, w/ yacon",Yacon macaroni salad,191,3.4,10.7,14.9,DOST PH
dost-1491,"Waldorf salad, prep, w/ yacon","Yacon, waldorf salad",177,1.8,16,11.8,DOST PH
dost-1492,"Anchovy fry omelet, prep, w/ MLP",Dulong omelet w/ MLP,186,13.1,4.5,12.8,DOST PH
dost-1493,"Red snapper fritata, prep, w/ MLP",Maya-maya torta w/ MLP,260,15.3,5.7,19.5,DOST PH
dost-1494,"Chopsuey, prep, w/ yacon",Yacon chopsuey,70,2.7,8.5,2.8,DOST PH
dost-1495,"Wonton soup, prep, w/ MLP","Pancit molo, w/ MLP",93,5,6.3,5.3,DOST PH
dost-1496,"Pork wonton, prep, w/ MLP",Siomai w/ MLP,217,13.3,18,10.2,DOST PH
dost-1497,"Scrambled egg, prep, w/ MLP",N/A,207,10,4.6,16.5,DOST PH
dost-1498,"Shanghai pork roll, prep, w/ yacon",Yacon lumpiang shanghai,285,10.3,26,15.5,DOST PH
dost-1499,"Fried rice mix, w/ yacon",Yacon-rice medley,140,3,23.1,4,DOST PH
dost-1500,"Vegetable stir-fry w/ quail eggs, prep, w/ yacon",Yacon w/ quail eggs,105,4.2,8.6,6,DOST PH
dost-1501,"Vegetable soup, prep, w/ yacon",Yacon-veggie summer vegetable soup,34,1.6,5.1,0.8,DOST PH
